City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
162,Lubango,-14.9172,13.4925,57.07,68,0,4.54,AO,2021-01-16 19:49:49,clear sky
163,Ouadda,8.0777,22.4007,72.41,23,14,5.93,CF,2021-01-16 19:49:49,few clouds
164,Luanda,-8.8368,13.2343,78.8,83,40,9.22,AO,2021-01-16 19:48:44,scattered clouds
165,Salamiyah,35.0113,37.0532,50.09,79,71,5.55,SY,2021-01-16 19:49:49,broken clouds
166,Kudahuvadhoo,2.6708,72.8944,81.39,70,100,8.32,MV,2021-01-16 19:49:49,overcast clouds
167,Beloha,-25.1667,45.05,75.9,84,3,1.41,MG,2021-01-16 19:47:34,clear sky
168,Sokoni,-6.4333,39.55,80.46,83,0,11.92,TZ,2021-01-16 19:49:49,clear sky
169,Hamilton,39.1834,-84.5333,37.0,64,90,13.8,US,2021-01-16 19:49:49,overcast clouds
170,Tiznit,29.5833,-9.5,55.26,59,0,0.4,MA,2021-01-16 19:49:49,clear sky
171,Libreville,0.3925,9.4537,82.4,83,20,8.05,GA,2021-01-16 19:47:09,light rain
172,Lalibela,12.0333,39.0333,55.6,56,15,7.49,ET,2021-01-16 19:49:49,few clouds
173,The Valley,18.217,-63.0578,82.4,69,20,11.5,AI,2021-01-16 19:49:49,few clouds
174,Makuyuni,-4.7333,38.1,73.27,77,2,1.25,TZ,2021-01-16 19:49:49,clear sky
175,Santa Maria,-29.6842,-53.8069,75.2,88,40,9.22,BR,2021-01-16 19:47:15,scattered clouds
176,Arandis,-22.4167,14.9667,71.01,80,0,5.99,NA,2021-01-16 19:49:50,clear sky
177,Goderich,43.7501,-81.7165,32.0,86,91,6.91,CA,2021-01-16 19:49:50,overcast clouds
178,Frederico Westphalen,-27.3592,-53.3944,84.0,76,71,1.01,BR,2021-01-16 19:49:50,broken clouds
179,Pitimbu,-7.4706,-34.8086,84.2,61,20,14.97,BR,2021-01-16 19:49:50,few clouds
180,Quelimane,-17.8786,36.8883,84.2,79,0,6.91,MZ,2021-01-16 19:49:50,clear sky
181,Abu Dhabi,24.4667,54.3667,64.4,82,0,1.14,AE,2021-01-16 19:48:16,clear sky
182,Khash,28.2211,61.2158,45.0,43,0,1.74,IR,2021-01-16 19:49:50,clear sky
