City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Yenagoa,NG,77.54,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
259,Itaobim,BR,77.41,overcast clouds,-16.5667,-41.8333,
264,Carai,BR,70.47,overcast clouds,-17.1889,-41.6947,Pousada Auto Vale
267,Casablanca,MA,55.4,clear sky,33.5928,-7.6192,Hotel Moroccan House Casablanca
271,Leo,BF,77.7,clear sky,11.1,-2.1,Hotel Sissilis
272,Ibra,OM,56.01,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
274,Sambava,MG,77.83,clear sky,-14.2667,50.1667,Melrose
275,Azangaro,PE,62.6,light rain,-14.9167,-70.2167,Hotel Miraflores Azangaro
276,Nyimba,ZM,70.14,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
277,Kaduna,NG,75.63,clear sky,10.5222,7.4383,HAMDALA HOTEL
280,Yabelo,ET,67.93,overcast clouds,4.8833,38.0833,Asnakech W/michael
281,Komatipoort,ZA,77.0,moderate rain,-25.4332,31.9548,Kruger View Backpackers
282,Bilma,NE,65.79,clear sky,18.6853,12.9164,Expeditions Ténére voyages
283,Gweta,BW,73.56,moderate rain,-20.1833,25.2333,Gweta Lodge
285,Tsabong,BW,79.97,few clouds,-26.0217,22.401,Springbok Motel
289,Vila Franca Do Campo,PT,62.01,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
291,Jeronimo Monteiro,BR,79.77,overcast clouds,-20.7894,-41.395,Pousada Capuchos
292,Ngorongoro,TZ,52.86,clear sky,-3.2397,35.4875,Simba Special Campsite B
294,Riyadh,SA,66.2,clear sky,24.6877,46.7219,InterContinental Riyadh
296,Dera Bugti,PK,56.68,clear sky,29.0307,69.15100000000001,Nawab Bugti House
297,Inyonga,TZ,64.78,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
298,Mananjary,MG,79.5,overcast clouds,-21.2167,48.3333,Vahiny Lodge
299,Abnub,EG,55.4,clear sky,27.2696,31.1511,Romany Adly Gad
301,Ndele,CF,77.0,clear sky,8.4109,20.6473,
302,Mecca,SA,70.81,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
303,Manono,CD,69.66,light rain,-7.3,27.4167,Hotel hewa bora
306,Gunjur,GM,78.8,broken clouds,13.2019,-16.7339,Kuba Lodge
307,Jalu,LY,52.3,clear sky,29.0331,21.5482,صاحبة الفخامة
309,Gandorhun,SL,77.13,overcast clouds,7.5,-11.8333,
310,Macenta,GN,73.54,overcast clouds,8.5435,-9.471,Hôtel Yansané
311,Joanopolis,BR,77.0,light rain,-22.9303,-46.2756,Espaço Orchestra do Silêncio
314,Lucapa,AO,66.16,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
318,Teguise,ES,62.6,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
319,Betare Oya,CM,72.27,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
320,Kutum,SD,58.75,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
322,Abha,SA,55.4,clear sky,18.2164,42.5053,Abha Hotel
